id,product_title,product_website_sales_rank,link,brand_name,maufacturer_name,product_featurs,product_part_number,product_model_number,product_warranty,release_date,product_price,product_display_price,product_currency,product_price_per_unit,product_savings_price,product_savings_display_price,product_savings_currency,product_savings_price_per_unit,product_savings_percentage,max_order_quantity,min_order_quantity,is_active
0,"Infinix SMART 7 (Night Black, 64 GB)",6,https://www.flipkart.com/infinix-smart-7-night-black-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2T7W2UPB9&lid=LSTMOBGMTW2T7W2UPB99HTRS1&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=7e656d58-8328-49f1-8c40-1c4469c45f26.MOBGMTW2T7W2UPB9.SEARCH&ppt=None&ppn=None&ssid=cw751vfchs0000001684906934309&qH=377f6742e239020b,Infinix,Infinix,"['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '16.76 cm (6.6 inch) HD+ Display', '13MP + AI Lens | 5MP Front Camera', '6000 mAh Battery', 'Unisoc Spreadtrum SC9863A1 Processor']",Infinix,Infinix,,,"₹7,299","₹7,299",INR,"₹7,299",,,,,,,,1
1,"Infinix SMART 7 (Emerald Green, 64 GB)",6,https://www.flipkart.com/infinix-smart-7-emerald-green-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2HFCMQY35&lid=LSTMOBGMTW2HFCMQY35R7FJQZ&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=7e656d58-8328-49f1-8c40-1c4469c45f26.MOBGMTW2HFCMQY35.SEARCH&ppt=None&ppn=None&ssid=cw751vfchs0000001684906934309&qH=377f6742e239020b,Infinix,Infinix,"['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '16.76 cm (6.6 inch) HD+ Display', '13MP + AI Lens | 5MP Front Camera', '6000 mAh Battery', 'Unisoc Spreadtrum SC9863A1 Processor']",Infinix,Infinix,,,"₹7,299","₹7,299",INR,"₹7,299",,,,,,,,1
2,"Infinix SMART 7 (Azure Blue, 64 GB)",6,https://www.flipkart.com/infinix-smart-7-azure-blue-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2WYG2A2FM&lid=LSTMOBGMTW2WYG2A2FMAZGXKU&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=7e656d58-8328-49f1-8c40-1c4469c45f26.MOBGMTW2WYG2A2FM.SEARCH&ppt=None&ppn=None&ssid=cw751vfchs0000001684906934309&qH=377f6742e239020b,Infinix,Infinix,"['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '16.76 cm (6.6 inch) HD+ Display', '13MP + AI Lens | 5MP Front Camera', '6000 mAh Battery', 'Unisoc Spreadtrum SC9863A1 Processor']",Infinix,Infinix,,,"₹7,299","₹7,299",INR,"₹7,299",,,,,,,,1
3,"realme C33 (Night Sea, 32 GB)",6,https://www.flipkart.com/realme-c33-night-sea-32-gb/p/itma112335dbe78a?pid=MOBGHBJGGVPHHTYQ&lid=LSTMOBGHBJGGVPHHTYQPKXLM2&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=7e656d58-8328-49f1-8c40-1c4469c45f26.MOBGHBJGGVPHHTYQ.SEARCH&ppt=None&ppn=None&ssid=cw751vfchs0000001684906934309&qH=377f6742e239020b,realme,realme,"['3 GB RAM | 32 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) HD+ Display', '50MP + 0.3MP | 5MP Front Camera', '5000 mAh Lithium Ion Battery', 'Unisoc T612 Processor']",realme,realme,,,"₹8,999","₹8,999",INR,"₹8,999",,,,,,,,1
4,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",6,https://www.flipkart.com/samsung-galaxy-f13-waterfall-blue-128-gb/p/itm85a305642eb7b?pid=MOBGENJWVWYAAVG5&lid=LSTMOBGENJWVWYAAVG5AKPCP0&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=7e656d58-8328-49f1-8c40-1c4469c45f26.MOBGENJWVWYAAVG5.SEARCH&ppt=None&ppn=None&ssid=cw751vfchs0000001684906934309&qH=377f6742e239020b,SAMSUNG,SAMSUNG,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 5MP + 2MP | 8MP Front Camera', '6000 mAh Lithium Ion Battery', 'Exynos 850 Processor']",SAMSUNG,SAMSUNG,,,"₹10,699","₹10,699",INR,"₹10,699",,,,,,,,1
5,"REDMI 10 (Midnight Black, 64 GB)",6,https://www.flipkart.com/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4E44YY0L&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=7e656d58-8328-49f1-8c40-1c4469c45f26.MOBGC9GYEBH3GZ4E.SEARCH&ppt=None&ppn=None&ssid=cw751vfchs0000001684906934309&qH=377f6742e239020b,REDMI,REDMI,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '17.02 cm (6.7 inch) HD+ Display', '50MP + 2MP | 5MP Front Camera', '6000 mAh Lithium Polymer Battery', 'Qualcomm Snapdragon 680 Processor']",REDMI,REDMI,,,"₹9,499","₹9,499",INR,"₹9,499",,,,,,,,1
6,"realme C33 (Aqua Blue, 32 GB)",6,https://www.flipkart.com/realme-c33-aqua-blue-32-gb/p/itma112335dbe78a?pid=MOBGHBJGFKM7MNQH&lid=LSTMOBGHBJGFKM7MNQHMLW6ZM&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=7e656d58-8328-49f1-8c40-1c4469c45f26.MOBGHBJGFKM7MNQH.SEARCH&ppt=None&ppn=None&ssid=cw751vfchs0000001684906934309&qH=377f6742e239020b,realme,realme,"['3 GB RAM | 32 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) HD+ Display', '50MP + 0.3MP | 5MP Front Camera', '5000 mAh Lithium Ion Battery', 'Unisoc T612 Processor']",realme,realme,,,"₹8,999","₹8,999",INR,"₹8,999",,,,,,,,1
7,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",6,https://www.flipkart.com/samsung-galaxy-f13-nightsky-green-64-gb/p/itmeadfda1bd23fa?pid=MOBGENJWF4KJTPEN&lid=LSTMOBGENJWF4KJTPENS2XJXA&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=7e656d58-8328-49f1-8c40-1c4469c45f26.MOBGENJWF4KJTPEN.SEARCH&ppt=None&ppn=None&ssid=cw751vfchs0000001684906934309&qH=377f6742e239020b,SAMSUNG,SAMSUNG,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 5MP + 2MP | 8MP Front Camera', '6000 mAh Lithium Ion Battery', 'Exynos 850 Processor']",SAMSUNG,SAMSUNG,,,"₹9,699","₹9,699",INR,"₹9,699",,,,,,,,1
8,"realme C33 (Sandy Gold, 32 GB)",6,https://www.flipkart.com/realme-c33-sandy-gold-32-gb/p/itma112335dbe78a?pid=MOBGHBJGF9QZYSZX&lid=LSTMOBGHBJGF9QZYSZXROLVZH&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=7e656d58-8328-49f1-8c40-1c4469c45f26.MOBGHBJGF9QZYSZX.SEARCH&ppt=None&ppn=None&ssid=cw751vfchs0000001684906934309&qH=377f6742e239020b,realme,realme,"['3 GB RAM | 32 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) HD+ Display', '50MP + 0.3MP | 5MP Front Camera', '5000 mAh Lithium Ion Battery', 'Unisoc T612 Processor']",realme,realme,,,"₹8,999","₹8,999",INR,"₹8,999",,,,,,,,1
9,"realme C33 (Night Sea, 64 GB)",6,https://www.flipkart.com/realme-c33-night-sea-64-gb/p/itma112335dbe78a?pid=MOBGHBJGZ3GYDFD2&lid=LSTMOBGHBJGZ3GYDFD2UJE1AM&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=7e656d58-8328-49f1-8c40-1c4469c45f26.MOBGHBJGZ3GYDFD2.SEARCH&ppt=None&ppn=None&ssid=cw751vfchs0000001684906934309&qH=377f6742e239020b,realme,realme,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) HD+ Display', '50MP + 0.3MP | 5MP Front Camera', '5000 mAh Lithium Ion Battery', 'Unisoc T612 Processor']",realme,realme,,,"₹9,999","₹9,999",INR,"₹9,999",,,,,,,,1
