"product id","product title","product urls"
11,"Redmi 9 Activ (Coral Green, 4GB RAM, 64GB Storage)| Octa-core Helio G35 | 5000 mAh Battery","[['https://www.mi.com/in/redmi-9-activ/'], ['https://www.flipkart.com/redmi-9-activ-coral-green-128-gb/p/itmf8e24fc354f15']]"
12,"Redmi 9A Sport (Coral Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","[['https://www.mi.com/in/redmi-9a-sport/'], ['https://www.amazon.in/Redmi-9A-Sport-Octa-core-Processor/dp/B09GFLXVH9'], ['https://www.flipkart.com/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b']]"
13,"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","[['https://www.vijaysales.com/oppo-a31-cph2015-4gb-64gb-fantasy-white/12807'], ['http://www.flipkart.com/oppo-a31-fantasy-white-64-gb/p/itm82e19f459118a']]"
14,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio | Charcoal",[['https://www.flipkart.com/nokia-105-ss-2021/p/itmf0223d31aa045']]
15,"OPPO A74 5G (Fantastic Purple,6GB RAM,128GB Storage) with No Cost EMI/Additional Exchange Offers",[['https://www.flipkart.com/oppo-a74-5g-black-fluid-black-128-gb/p/itm93519bec12f5e']]
17,"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus","[['https://www.flipkart.com/samsung-galaxy-m13-aqua-green-128-gb/p/itm09f4d4c836b32'], ['https://www.amazon.in/Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2XCK3']]"
18,"Redmi 9 Activ (Metallic Purple, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery","[['https://www.mi.com/in/redmi-9-activ/'], ['https://www.flipkart.com/redmi-9-activ-coral-green-128-gb/p/itmf8e24fc354f15']]"
19,"realme narzo 50A Prime (Flash Black, 4GB RAM+128GB Storage) FHD+ Display | 50MP AI Triple Camera (No Charger Variant) | Flat 3000 Off","[['https://www.flipkart.com/primelike-back-cover-realme-narzo-50a-prime-rmx3516/p/itm508b1a9fc9f6e'], ['https://www.flipkart.com/realme-narzo-50a-prime-flash-black-64-gb/p/itme4d0057655986']]"
23,"Redmi 9 Activ (Carbon Black, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery","[['https://www.mi.com/in/redmi-9-activ/'], ['https://www.flipkart.com/redmi-9-activ-coral-green-128-gb/p/itmf8e24fc354f15']]"
24,"Samsung Galaxy M13 (Midnight Blue, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",[['https://www.flipkart.com/samsung-galaxy-m13-5g-midnight-blue-64-gb/p/itma1c27c0ae3b7d']]
26,"Redmi 9A Sport (Metallic Blue, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","[['https://www.mi.com/in/redmi-9a-sport/'], ['https://www.amazon.in/Redmi-9A-Sport-Octa-core-Processor/dp/B09GFLXVH9'], ['https://www.flipkart.com/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b']]"
27,"OPPO A15s (Rainbow Silver, 4GB RAM, 64GB Storage) With No Cost EMI/Additional Exchange Offers","[['https://www.amazon.sa/-/en/OPPO-A15S-CPH2179-Dynamic-Black/dp/B08TVNYN1L'], ['https://www.croma.com/oppo-a15s-4gb-ram-64gb-dynamic-black-/p/231514']]"
28,"realme narzo 50i (Carbon Black, 2GB RAM+32GB Storage) - with No Cost EMI/Additional Exchange Offers","[['https://www.amazon.in/realme-2021-Storage-Medium-RMX3231/dp/B09G69ZB2B'], ['https://www.amazon.in/Renewed-realme-Storage-Medium-RMX3231/dp/B09LM9PKBY']]"
29,"realme narzo 50i (Carbon Black, 4GB RAM+64GB Storage) - with No Cost EMI/Additional Exchange Offers","[['https://www.amazon.in/realme-2021-Storage-Medium-RMX3231/dp/B09G69ZB2B'], ['https://www.amazon.in/Renewed-realme-Storage-Medium-RMX3231/dp/B09LM9PKBY']]"
30,"Samsung Galaxy M33 5G (Mystique Green, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Travel Adapter to be Purchased Separately","[['https://www.amazon.in/Samsung-Mystique-Storage-Purchased-Separately/dp/B09TWHTBKQ'], ['https://www.flipkart.com/samsung-galaxy-m33-5g-deep-ocean-blue-128-gb/p/itm6fafe6189184d']]"
35,"realme narzo 50i (Mint Green, 2GB RAM+32GB Storage) - with No Cost EMI/Additional Exchange Offers","[['https://www.amazon.in/realme-2021-Storage-Medium-RMX3231/dp/B09G69ZB2B'], ['https://www.amazon.in/Renewed-realme-Storage-Medium-RMX3231/dp/B09LM9PKBY']]"
36,"Redmi 9A Sport (Carbon Black, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","[['https://www.mi.com/in/redmi-9a-sport/'], ['https://www.amazon.in/Redmi-9A-Sport-Octa-core-Processor/dp/B09GFLXVH9'], ['https://www.flipkart.com/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b']]"
38,"Samsung Galaxy M33 5G (Deep Ocean Blue, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Travel Adapter to be Purchased Separately",[['https://www.flipkart.com/samsung-galaxy-m33-5g-deep-ocean-blue-128-gb/p/itm94f0e328edc9d']]
39,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","[['https://www.flipkart.com/samsung-galaxy-m13-midnight-blue-64-gb/p/itme9d85574c16d5'], ['https://www.flipkart.com/pickastore-back-cover-samsung-galaxy-m13-sm-m135fdbpins/p/itmce7d31d23644a']]"
40,"Tecno Pop 5 LTE(Deepsea Luster 2GB RAM, 32GB Storage)| 8MP Dual Camera | Face Unlock","[['https://www.amazon.in/Tecno-5000mAh-Camera-Splash-Resistant/dp/B09PRDHRKV'], ['https://www.flipkart.com/tecno-pop-5-lte-ice-blue-32-gb/p/itm93fbf276fa013'], ['https://www.flipkart.com/covernew-flip-cover-tecno-bd4i-pop-5-lte/p/itm39a77345325ca']]"
43,"Tecno Pop 5 LTE(Turquoise Cyan 2GB RAM, 32GB Storage)| 8MP Dual Camera | Face Unlock","[['https://www.amazon.in/Tecno-5000mAh-Camera-Splash-Resistant/dp/B09PRDHRKV'], ['https://www.flipkart.com/tecno-pop-5-lte-ice-blue-32-gb/p/itm93fbf276fa013'], ['https://www.flipkart.com/covernew-flip-cover-tecno-bd4i-pop-5-lte/p/itm39a77345325ca']]"
44,"realme narzo 50i (Mint Green, 4GB RAM+64GB Storage) - with No Cost EMI/Additional Exchange Offers","[['https://www.amazon.in/realme-2021-Storage-Medium-RMX3231/dp/B09G69ZB2B'], ['https://www.amazon.in/Renewed-realme-Storage-Medium-RMX3231/dp/B09LM9PKBY']]"
45,"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","[['https://www.samsung.com/in/smartphones/galaxy-m/galaxy-m13-green-64gb-sm-m135flgpins/'], ['https://www.flipkart.com/samsung-galaxy-m13-aqua-green-64-gb/p/itmf8992660986e8'], ['https://www.amazon.in/Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2TTTS'], ['https://www.samsung.com/levant/smartphones/galaxy-m/galaxy-m13-light-blue-128gb-sm-m135flbgmeb/']]"
46,"OPPO A74 5G (Fluid Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",[['https://www.flipkart.com/oppo-a74-5g-black-fluid-black-128-gb/p/itm93519bec12f5e']]
47,"Redmi Note 11T 5G (Stardust White, 8GB RAM, 128GB ROM) | Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers| Get 2 Months of YouTube Premium Free!","[['https://www.mi.com/in/product/redmi-note-11t-5g/'], ['https://www.amazon.in/Redmi-Note-11T-5G-Dimensity/dp/B09LHX1YFX']]"
50,realme narzo 50i Prime (Mint Green 3GB RAM+32GB Storage) Octa-core Processor | 5000 mAh Battery,"[['https://www.amazon.in/realme-Storage-Octa-core-Processor-Battery/dp/B0BBM7L888'], ['https://www.flipkart.com/realme-narzo-50i-prime-dark-blue-32-gb/p/itmc04e130e013e0'], ['https://www.flipkart.com/indicraft-back-cover-realme-narzo-50i-prime-rmx3506-gun-pistol-army-weapon-revolver-military/p/itm42db80daf3876']]"
52,"Samsung Galaxy S20 FE 5G (Cloud Mint, 8GB RAM, 128GB Storage)","[['https://www.vijaysales.com/samsung-galaxy-s20-fe-5g-8-gb-ram-128-gb-storage-cloud-mint/16381'], ['https://www.flipkart.com/paystore-back-cover-samsung-galaxy-s20-fe-sm-g781bzggins/p/itmff497476a4546']]"
53,"realme narzo 50A Prime (Flash Blue, 4GB RAM+128GB Storage) FHD+ Display | 50MP AI Triple Camera (No Charger Variant) | Flat 3000 Off","[['https://www.flipkart.com/primelike-back-cover-realme-narzo-50a-prime-rmx3516/p/itm508b1a9fc9f6e'], ['https://www.flipkart.com/realme-narzo-50a-prime-flash-black-64-gb/p/itme4d0057655986']]"
55,"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | 5000mAh Battery | Travel Adapter to be Purchased Separately","[['https://www.amazon.in/iQOO-Stellar-Snapdragon-Purchased-Separately/dp/B07WHSCG2C'], ['https://www.amazon.in/iQOO-Stellar-Snapdragon-Purchased-Separately/dp/B07WHSCG2C'], ['https://www.flipkart.com/mobart-tempered-glass-guard-vivo-iqoo-z6-lite-5g-i2208-flexible-shatterproof/p/itm3babacf3ef0a7'], ['https://www.flipkart.com/cs-back-cover-iqoo-z6-lite-5g-i2208/p/itmad3f1a193f063']]"
56,Redmi 9A(Midnight Black 3GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,[]
59,"iQOO Z6 44W (Raven Black, 6GB RAM, 128GB Storage)",[]
63,"iQOO vivo Z5 5G (Arctic Dawn, 8GB RAM, 128GB Storage) | Snapdragon 778G 5G Processor | 5000mAh Battery | 44W FlashCharge",[['https://www.flipkart.com/iqoo-z5-5g-arctic-dawn-256-gb/p/itm573f8a47a7b2b']]
65,"Samsung Galaxy M33 5G (Mystique Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately","[['https://www.flipkart.com/samsung-galaxy-m33-5g-mystique-green-128-gb/p/itme4ec54aec3acc'], ['https://www.amazon.in/METOO-Samsung-SM-M336BZGPINS-Mobile-Printed/dp/B0B89ZJ6MC']]"
158,"Samsung Galaxy M53 5G (Deep Ocean Blue, 6GB, 128GB Storage) | 108MP | sAmoled+ 120Hz | 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately",[['https://www.flipkart.com/samsung-m53-5g-deep-ocean-blue-128-gb/p/itm3697f79186ecc']]
159,"Saregama Carvaan Mobile Keypad Phone M21 with Dual Sim, 2.4 Inch Screen, 1500 Pre-Loaded Songs, 2500 mAh Battery, 2 GB Free Memory, FM, Bluetooth, Rear VGA Camera (Emerald Green)",[]
160,"Redmi Note 11T 5G (Stardust White, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers|Get 2 Months of YouTube Premium Free!","[['https://www.mi.com/in/product/redmi-note-11t-5g/'], ['https://www.amazon.in/Redmi-Note-11T-5G-Dimensity/dp/B09LHX1YFX']]"
163,"realme narzo 50 (Speed Blue, 6GB RAM+128GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display","[['https://www.amazon.in/realme-Storage-Processor-Triple-Display/dp/B09RMG1M98'], ['https://www.flipkart.com/coverage-back-cover-realme-rmx3286-narzo-50/p/itmaff0c74dbfec2']]"
164,"Samsung Galaxy M32 (Light Blue, 4GB RAM, 64GB | FHD+ sAMOLED 90Hz Display | 6000mAh Battery | 64MP Quad Camera",[['https://www.flipkart.com/coverage-back-cover-samsung-m32-4g-sm-m325f/p/itm638008808b08f']]
166,"Redmi Note 11T 5G (Aquamarine Blue, 8GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers| Get 2 Months of YouTube Premium Free!","[['https://www.mi.com/in/product/redmi-note-11t-5g/'], ['https://www.amazon.in/Redmi-Note-11T-5G-Dimensity/dp/B09LHX1YFX']]"
167,"realme narzo 50 (Speed Black, 4GB RAM+64GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display","[['https://www.flipkart.com/pickastore-back-cover-realme-narzo-50-rmx3286/p/itmdfc09fb3a2cf1'], ['https://www.amazon.in/realme-Storage-Processor-Triple-Display/dp/B09RMG1M98']]"
168,"realme narzo 50A Prime (Flash Blue, 4GB RAM+64GB Storage) FHD+ Display | 50MP AI Triple Camera (No Charger Variant)","[['https://www.flipkart.com/primelike-back-cover-realme-narzo-50a-prime-rmx3516/p/itm508b1a9fc9f6e'], ['https://www.flipkart.com/realme-narzo-50a-prime-flash-black-64-gb/p/itme4d0057655986']]"
169,"Nokia 5310 Dual SIM Keypad Phone with MP3 Player, Wireless FM Radio and Rear Camera with Flash | White/Red","[['https://www.flipkart.com/nokia-5310-ta-1212-ds/p/itme84c543a43b24'], ['https://www.amazon.in/Nokia-5310-Feature-Player-Wireless/dp/B08BG8L72Q']]"
